direction,lot,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usd
BUY,0.01,2025-08-21T07:30:00+00:00,3340.173823450619,3337.6755889444303,3344.6706455617577,2025-08-21T10:30:00+00:00,3337.6755889444303,SL,-2.49823450618851
BUY,0.01,2025-08-22T07:15:00+00:00,3334.239412868852,3331.715284180333,3338.7828445081864,2025-08-22T07:30:00+00:00,3331.715284180333,SL,-2.5241286885188856
SELL,0.02,2025-08-25T08:15:00+00:00,3364.2048634872217,3366.536228615007,3360.008406257208,2025-08-25T09:45:00+00:00,3366.536228615007,SL,-4.66273025557075
BUY,0.01,2025-08-25T23:00:00+00:00,3358.531,3355.972880922822,3360.662765897648,2025-08-25T23:15:00+00:00,3355.972880922822,SL,-2.558119077178162
BUY,0.01,2025-08-25T23:15:00+00:00,3355.766,3352.988603714049,3358.080496904959,2025-08-25T23:30:00+00:00,3352.988603714049,SL,-2.7773962859509993
BUY,0.01,2025-08-25T23:30:00+00:00,3353.859,3350.959074877331,3356.2756042688907,2025-08-26T00:00:00+00:00,3356.2756042688907,TP,2.416604268890751
SELL,0.01,2025-08-26T00:30:00+00:00,3382.043,3387.3027025361453,3377.6599145532127,2025-08-26T01:00:00+00:00,3377.6599145532127,TP,4.3830854467873905
SELL,0.01,2025-08-26T07:15:00+00:00,3369.8626446456037,3373.6761981895675,3362.998248266469,2025-08-26T07:30:00+00:00,3373.6761981895675,SL,-3.813553543963735
SELL,0.01,2025-08-27T07:15:00+00:00,3373.84753861359,3376.6421524776897,3368.817233658211,2025-08-27T07:30:00+00:00,3376.6421524776897,SL,-2.794613864099574
BUY,0.01,2025-08-28T07:15:00+00:00,3397.223847347505,3394.495373872454,3402.1350996025967,2025-08-28T07:30:00+00:00,3394.495373872454,SL,-2.7284734750510324
SELL,0.01,2025-08-29T07:15:00+00:00,3407.6230732846298,3409.972340438334,3403.3943924079626,2025-08-29T07:30:00+00:00,3409.972340438334,SL,-2.3492671537042042
SELL,0.01,2025-09-01T02:15:00+00:00,3466.357,3473.5506512572965,3460.3622906189194,2025-09-01T02:30:00+00:00,3473.5506512572965,SL,-7.193651257296551
SELL,0.01,2025-09-01T02:30:00+00:00,3475.45,3483.0735333103466,3469.097055574711,2025-09-01T02:45:00+00:00,3483.0735333103466,SL,-7.623533310346829
SELL,0.01,2025-09-01T02:45:00+00:00,3483.531,3491.5136809310366,3476.8787658908027,2025-09-01T03:00:00+00:00,3476.8787658908027,TP,6.652234109197252
SELL,0.01,2025-09-01T07:15:00+00:00,3474.0405910996096,3480.16468010351,3463.017230892589,2025-09-01T14:15:00+00:00,3480.16468010351,SL,-6.124089003900281
SELL,0.01,2025-09-02T01:00:00+00:00,3488.861,3493.627101105526,3484.8892490787284,2025-09-02T01:15:00+00:00,3493.627101105526,SL,-4.766101105526104
SELL,0.01,2025-09-02T01:15:00+00:00,3497.446,3502.698465312274,3493.068945573105,2025-09-02T01:45:00+00:00,3502.698465312274,SL,-5.252465312274126
SELL,0.01,2025-09-02T01:45:00+00:00,3497.812,3504.5941257029303,3492.1602285808913,2025-09-02T02:15:00+00:00,3492.1602285808913,TP,5.651771419108627
SELL,0.01,2025-09-02T07:15:00+00:00,3482.760399629763,3487.516403332131,3474.1995929655,2025-09-02T07:45:00+00:00,3474.1995929655,TP,8.560806664263055
SELL,0.01,2025-09-03T07:15:00+00:00,3529.3696278462876,3533.6933493834144,3521.586929079459,2025-09-03T07:30:00+00:00,3533.6933493834144,SL,-4.323721537126858
BUY,0.01,2025-09-04T02:00:00+00:00,3542.529,3535.731353773649,3548.1937051886257,2025-09-04T02:45:00+00:00,3535.731353773649,SL,-6.797646226350936
BUY,0.01,2025-09-04T02:45:00+00:00,3530.883,3523.2505450585663,3537.243379117861,2025-09-04T03:00:00+00:00,3523.2505450585663,SL,-7.63245494143348
BUY,0.01,2025-09-04T03:00:00+00:00,3515.165,3506.3114918400975,3522.5429234665853,2025-09-04T03:15:00+00:00,3522.5429234665853,TP,7.377923466585344
BUY,0.01,2025-09-04T08:00:00+00:00,3542.2213491168036,3536.557857948768,3552.415633219268,2025-09-04T12:15:00+00:00,3552.415633219268,TP,10.19428410246428
SELL,0.01,2025-09-05T07:30:00+00:00,3547.9095990332507,3551.403608700745,3541.6203816317616,2025-09-05T09:30:00+00:00,3551.403608700745,SL,-3.4940096674940837
BUY,0.01,2025-09-08T07:15:00+00:00,3605.379031133418,3600.7287197992428,3613.749591534933,2025-09-08T08:15:00+00:00,3613.749591534933,TP,8.370560401515377
SELL,0.01,2025-09-09T01:15:00+00:00,3644.458,3649.232009185872,3640.479659011774,2025-09-09T02:00:00+00:00,3649.232009185872,SL,-4.774009185871819
SELL,0.01,2025-09-09T02:00:00+00:00,3650.871,3656.0401902993294,3646.5633414172257,2025-09-09T03:00:00+00:00,3646.5633414172257,TP,4.307658582774366
BUY,0.01,2025-09-10T07:45:00+00:00,3648.2169915000222,3643.827076499798,3656.1188385004266,2025-09-10T08:00:00+00:00,3643.827076499798,SL,-4.389915000224391
